UserID+Query#,Duration in ms
52266+2,1
52266+0,14
52266+1,5
22239+1,1
22239+0,4
94568+2,8
94568+1,1556
94568+0,9
94568+3,2
96918+2,0
42015+0,13
96918+1,8
96918+0,66978
42015+2,5
42015+1,17
42015+3,1
19470+0,0
81024+0,2044
81024+1,5
34563+0,1
93376+3,1
76571+0,19670
76571+2,1
76571+1,4
41730+0,3
41730+1,0
30006+1,5
30006+0,2904
16088+1,2
16088+0,7
16088+2,1
27100+2,3
27100+1,1637
27100+0,12
93376+1,9
93376+2,4
93376+0,10412
14724+0,1
35519+0,10557
35519+1,4
35519+2,1
40233+0,0
49840+0,1
65984+1,8
65984+2,1
90940+1,2
90940+0,4
65984+0,14
97091+1,1
97091+0,5
25319+0,0
57078+2,1
57078+1,5
36147+2,1
57078+0,11134
36147+0,1593
36147+1,1652
82396+0,0
26439+0,6
26439+1,5
26439+2,1
4746+1,4
4746+0,1726
81024+2,1
4746+2,0
92183+2,2
24820+0,2
92183+0,14
24820+1,1
92183+1,7
42540+1,1731
42540+0,10
42540+2,1
88365+0,0
28810+1,0
28810+0,5
39878+1,6
39878+0,8
39878+2,2
75148+2,1
75148+0,1621
75148+1,6
84673+0,10
84673+2,1
84673+1,4
901+2,2
901+1,1697
74836+2,2
74836+1,65610
7122+0,0
74836+0,14
7331+0,10421
7331+2,7
7331+1,10
7331+3,1
901+0,6
41675+0,15
41675+1,1663
41675+2,2
88731+0,1
