UserID+Query#,Duration in ms
15919+2,4
62934+3,0
15919+3,2
93267+0,16
95346+3,1
62934+1,8
93267+1,14
95346+2,5
62934+2,181
10852+1,0
10852+0,4
62934+0,15
15919+0,50
15919+1,6
95135+2,0
18895+0,7
95135+0,170
18895+1,4
95135+1,5
18895+2,2
86860+0,178
86860+2,5
86860+1,698
86860+3,1
56471+0,5
56471+1,0
26985+1,4
26985+2,0
26985+0,6
80848+2,1
80848+1,6
80848+0,1914
13280+2,1
13280+1,5
13280+0,31
93267+2,4
93267+3,1
6320+1,0
6320+0,5
230+0,8
230+1,7
230+2,1
92258+0,0
34071+1,1
34071+0,4
22166+1,6
22166+0,171
96690+3,1
71576+0,5
96690+0,977
96690+1,6
96690+2,157
77597+2,2
22166+2,2
77597+0,101
77597+1,8
63186+0,172
59676+0,0
26040+0,1
63186+1,6
63186+2,3
63186+3,0
71413+0,180
71413+1,12
71413+2,6
71413+3,2
72813+1,9
72813+0,1198
72813+3,1
72813+2,5
71576+1,0
51022+1,0
51022+0,3
27996+0,331
27996+1,164
60699+3,1
27996+2,1
60699+0,12
60699+1,8
60699+2,171
76652+1,9
47644+3,2
76652+2,1
47644+2,6
10181+0,18
47644+1,13
76652+0,173
47644+0,175
25901+2,1
25901+0,1037
25901+1,5
95346+1,8
58544+1,8
95346+0,12
58544+2,1
58544+0,333
3428+3,1
3428+2,4
3428+1,13
3428+0,18
